PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Moritz Wagner,ORL,ORL vs. BOS,11/24/2023,W,24,27,9,13,69.2,1,3,33.3,8,9,88.9,2,1,3,0,0,0,1,5,16,29.6
Cole Anthony,ORL,ORL vs. BOS,11/24/2023,W,29,16,6,17,35.3,2,4,50,2,4,50,1,2,3,6,2,1,3,4,17,34.6
Sam Hauser,BOS,BOS @ ORL,11/24/2023,L,25,10,4,6,66.7,2,4,50,0,0,-,1,1,2,0,0,0,1,0,-16,11.4
Caleb Houstan,ORL,ORL vs. BOS,11/24/2023,W,9,0,0,0,-,0,0,-,0,0,-,1,1,2,0,1,0,0,0,15,5.4
Paolo Banchero,ORL,ORL vs. BOS,11/24/2023,W,35,23,10,16,62.5,2,6,33.3,1,2,50,1,6,7,5,0,0,3,4,7,35.9
Franz Wagner,ORL,ORL vs. BOS,11/24/2023,W,35,17,8,17,47.1,1,6,16.7,0,0,-,0,8,8,6,0,1,3,2,10,35.6
Cole Swider,MIA,MIA @ NYK,11/24/2023,L,6,0,0,3,0,0,2,0,0,0,-,0,0,0,2,0,0,0,0,-3,3
Quentin Grimes,NYK,NYK vs. MIA,11/24/2023,W,21,3,1,4,25,1,3,33.3,0,0,-,0,0,0,2,1,0,0,3,-20,9
Mitchell Robinson,NYK,NYK vs. MIA,11/24/2023,W,20,5,2,4,50,0,0,-,1,4,25,3,4,7,0,2,0,0,2,-17,19.4
Haywood Highsmith,MIA,MIA @ NYK,11/24/2023,L,24,5,1,6,16.7,1,5,20,2,2,100,0,3,3,3,2,0,2,1,10,17.1
Kevin Love,MIA,MIA @ NYK,11/24/2023,L,18,7,2,7,28.6,1,6,16.7,2,2,100,1,5,6,1,0,0,2,1,-1,13.7
Caleb Martin,MIA,MIA @ NYK,11/24/2023,L,18,2,1,5,20,0,3,0,0,0,-,0,3,3,1,1,0,0,3,-1,10.1
Donte DiVincenzo,NYK,NYK vs. MIA,11/24/2023,W,16,5,1,4,25,1,2,50,2,3,66.7,1,3,4,1,1,0,3,1,7,11.3
Josh Hart,NYK,NYK vs. MIA,11/24/2023,W,26,10,4,7,57.1,1,3,33.3,1,1,100,1,7,8,4,1,0,1,1,5,27.6
Josh Richardson,MIA,MIA @ NYK,11/24/2023,L,34,15,5,10,50,2,4,50,3,3,100,1,1,2,2,2,0,2,3,-7,24.4
Jaime Jaquez Jr.,MIA,MIA @ NYK,11/24/2023,L,35,15,6,17,35.3,1,6,16.7,2,2,100,3,2,5,4,1,0,0,3,-18,30
Julius Randle,NYK,NYK vs. MIA,11/24/2023,W,35,13,5,12,41.7,1,4,25,2,2,100,0,8,8,7,0,0,6,0,-8,27.1
Immanuel Quickley,NYK,NYK vs. MIA,11/24/2023,W,26,20,8,17,47.1,4,8,50,0,0,-,0,4,4,2,0,1,2,1,22,28.8
RJ Barrett,NYK,NYK vs. MIA,11/24/2023,W,34,18,7,14,50,1,5,20,3,3,100,0,7,7,1,0,0,3,2,9,24.9
Bam Adebayo,MIA,MIA @ NYK,11/24/2023,L,35,21,8,16,50,0,1,0,5,6,83.3,2,10,12,2,2,0,2,4,0,42.4
Jalen Brunson,NYK,NYK vs. MIA,11/24/2023,W,34,24,10,16,62.5,1,4,25,3,5,60,0,3,3,3,0,0,2,1,-6,30.1
Isaiah Hartenstein,NYK,NYK vs. MIA,11/24/2023,W,28,2,1,3,33.3,0,0,-,0,0,-,1,4,5,1,2,1,1,3,18,17.5
Kyle Lowry,MIA,MIA @ NYK,11/24/2023,L,33,10,4,9,44.4,2,5,40,0,0,-,3,5,8,2,2,0,1,3,3,27.6
Kevin Huerter,SAC,SAC @ MIN,11/24/2023,W,24,10,4,8,50,2,5,40,0,0,-,1,1,2,3,0,1,0,1,17,19.9
Shake Milton,MIN,MIN vs. SAC,11/24/2023,L,13,2,1,6,16.7,0,1,0,0,0,-,1,1,2,1,1,1,3,1,-10,8.9
Kristaps Porzingis,BOS,BOS @ ORL,11/24/2023,L,22,9,4,9,44.4,1,4,25,0,1,0,1,3,4,2,2,0,2,3,6,20.8
Anthony Black,ORL,ORL vs. BOS,11/24/2023,W,6,0,0,1,0,0,0,-,0,0,-,0,1,1,0,0,0,1,1,-6,0.2
Lamar Stevens,BOS,BOS @ ORL,11/24/2023,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0
DeMar DeRozan,CHI,CHI @ TOR,11/24/2023,L,39,19,7,16,43.8,0,1,0,5,9,55.6,0,3,3,4,1,1,2,3,-31,32.6
Coby White,CHI,CHI @ TOR,11/24/2023,L,34,14,5,9,55.6,4,7,57.1,0,0,-,1,2,3,3,0,0,3,4,-9,19.1
Pascal Siakam,TOR,TOR vs. CHI,11/24/2023,W,37,18,6,12,50,1,6,16.7,5,6,83.3,0,3,3,8,1,0,3,2,14,33.6
Patrick Williams,CHI,CHI @ TOR,11/24/2023,L,22,12,4,8,50,2,2,100,2,2,100,2,3,5,1,1,0,0,0,2,22.5
Zach LaVine,CHI,CHI @ TOR,11/24/2023,L,38,36,16,23,69.6,4,8,50,0,0,-,0,4,4,3,1,0,5,4,-2,43.3
Nikola Vucevic,CHI,CHI @ TOR,11/24/2023,L,36,9,4,8,50,1,2,50,0,0,-,0,8,8,5,1,0,1,3,-4,28.1
Scottie Barnes,TOR,TOR vs. CHI,11/24/2023,W,33,13,5,11,45.5,2,5,40,1,2,50,5,5,10,6,1,2,1,1,19,42
OG Anunoby,TOR,TOR vs. CHI,11/24/2023,W,34,26,10,14,71.4,5,7,71.4,1,2,50,1,5,6,3,1,0,2,2,9,38.7
Jakob Poeltl,TOR,TOR vs. CHI,11/24/2023,W,31,15,7,8,87.5,0,0,-,1,5,20,4,6,10,3,2,1,1,1,15,39.5
Dennis Schroder,TOR,TOR vs. CHI,11/24/2023,W,34,17,6,16,37.5,1,9,11.1,4,4,100,0,0,0,5,0,0,3,2,9,21.5
Jevon Carter,CHI,CHI @ TOR,11/24/2023,L,11,0,0,2,0,0,1,0,0,0,-,0,1,1,1,0,0,0,0,13,2.7
Gary Trent Jr.,TOR,TOR vs. CHI,11/24/2023,W,21,16,6,13,46.2,4,9,44.4,0,0,-,0,1,1,2,1,0,0,3,-4,23.2
Malachi Flynn,TOR,TOR vs. CHI,11/24/2023,W,14,2,0,2,0,0,2,0,2,2,100,0,1,1,1,1,0,1,1,4,6.7
Precious Achiuwa,TOR,TOR vs. CHI,11/24/2023,W,18,8,3,4,75,0,0,-,2,2,100,3,4,7,4,0,3,2,0,-2,29.4
Chris Boucher,TOR,TOR vs. CHI,11/24/2023,W,10,4,1,3,33.3,0,1,0,2,2,100,0,1,1,0,1,0,0,1,-1,8.2
Gradey Dick,TOR,TOR vs. CHI,11/24/2023,W,9,2,0,0,-,0,0,-,2,2,100,0,1,1,0,0,0,1,1,2,2.2
Torrey Craig,CHI,CHI @ TOR,11/24/2023,L,19,5,1,3,33.3,0,1,0,3,4,75,2,3,5,1,0,1,1,2,-6,14.5
Ayo Dosunmu,CHI,CHI @ TOR,11/24/2023,L,13,2,1,4,25,0,2,0,0,0,-,0,1,1,1,1,0,0,1,-5,7.7
Alex Caruso,CHI,CHI @ TOR,11/24/2023,L,18,7,2,3,66.7,1,2,50,2,2,100,1,1,2,1,0,0,0,0,-13,10.9
Andre Drummond,CHI,CHI @ TOR,11/24/2023,L,6,2,1,4,25,0,0,-,0,0,-,3,2,5,0,0,0,0,2,-10,8
Julian Phillips,CHI,CHI @ TOR,11/24/2023,L,4,2,1,2,50,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2
Harrison Barnes,SAC,SAC @ MIN,11/24/2023,W,33,18,7,11,63.6,2,4,50,2,2,100,0,4,4,2,1,0,2,0,5,26.8
Domantas Sabonis,SAC,SAC @ MIN,11/24/2023,W,39,15,7,15,46.7,1,1,100,0,1,0,5,6,11,5,2,3,2,6,-7,48.7
De'Aaron Fox,SAC,SAC @ MIN,11/24/2023,W,37,36,14,32,43.8,3,7,42.9,5,6,83.3,2,5,7,12,1,0,2,3,19,63.4
Troy Brown Jr.,MIN,MIN vs. SAC,11/24/2023,L,25,10,4,8,50,1,5,20,1,2,50,3,4,7,0,0,1,0,1,9,21.4
Kessler Edwards,SAC,SAC @ MIN,11/24/2023,W,18,10,4,7,57.1,2,3,66.7,0,0,-,1,1,2,1,1,0,0,1,-7,16.9
Malik Monk,SAC,SAC @ MIN,11/24/2023,W,30,17,6,14,42.9,3,6,50,2,2,100,0,2,2,0,1,0,3,2,11,19.4
Trey Lyles,SAC,SAC @ MIN,11/24/2023,W,19,9,3,6,50,3,6,50,0,0,-,1,6,7,0,0,0,1,1,15,16.4
Nickeil Alexander-Walker,MIN,MIN vs. SAC,11/24/2023,L,22,6,2,8,25,2,7,28.6,0,0,-,1,0,1,2,2,1,0,4,-12,19.2
Mike Conley,MIN,MIN vs. SAC,11/24/2023,L,30,6,2,7,28.6,2,3,66.7,0,0,-,1,2,3,9,1,0,1,1,-10,25.1
Anthony Edwards,MIN,MIN vs. SAC,11/24/2023,L,40,35,8,21,38.1,2,9,22.2,17,18,94.4,0,7,7,5,2,2,4,2,5,58.9
Karl-Anthony Towns,MIN,MIN vs. SAC,11/24/2023,L,38,27,9,15,60,4,5,80,5,5,100,1,10,11,4,0,0,4,3,-8,42.2
Rudy Gobert,MIN,MIN vs. SAC,11/24/2023,L,36,12,5,8,62.5,0,0,-,2,2,100,3,8,11,0,0,2,3,5,4,28.2
Naz Reid,MIN,MIN vs. SAC,11/24/2023,L,18,9,4,7,57.1,1,3,33.3,0,0,-,0,1,1,0,0,2,3,0,-19,13.2
JaVale McGee,SAC,SAC @ MIN,11/24/2023,W,8,4,2,2,100,0,0,-,0,0,-,2,4,6,1,0,0,0,1,16,12.7
Kyle Anderson,MIN,MIN vs. SAC,11/24/2023,L,18,4,1,2,50,0,0,-,2,2,100,0,1,1,4,0,0,0,1,-24,11.2
Davion Mitchell,SAC,SAC @ MIN,11/24/2023,W,9,5,2,2,100,1,1,100,0,0,-,0,0,0,1,0,0,1,1,-6,5.5
Jimmy Butler,MIA,MIA @ NYK,11/24/2023,L,37,23,7,14,50,3,5,60,6,6,100,0,2,2,3,1,0,2,1,7,30.9
Khris Middleton,MIL,MIL vs. WAS,11/24/2023,W,13,7,3,8,37.5,1,3,33.3,0,0,-,0,1,1,5,0,0,1,1,5,14.7
Doug McDermott,SAS,SAS @ GSW,11/24/2023,L,19,7,3,6,50,1,3,33.3,0,0,-,1,0,1,4,3,0,0,0,-1,23.2
Chris Paul,GSW,GSW vs. SAS,11/24/2023,W,29,5,2,6,33.3,1,3,33.3,0,0,-,0,5,5,10,0,0,1,2,16,25
Trayce Jackson-Davis,GSW,GSW vs. SAS,11/24/2023,W,5,2,0,1,0,0,0,-,2,2,100,0,0,0,0,0,1,1,1,1,4
Jeremy Sochan,SAS,SAS @ GSW,11/24/2023,L,33,7,3,7,42.9,1,2,50,0,0,-,3,3,6,4,0,0,2,2,1,18.2
Malaki Branham,SAS,SAS @ GSW,11/24/2023,L,19,6,3,9,33.3,0,5,0,0,0,-,0,0,0,1,1,0,1,2,-8,9.5
Moses Moody,GSW,GSW vs. SAS,11/24/2023,W,17,9,4,4,100,1,1,100,0,2,0,2,2,4,1,0,0,2,0,-6,13.3
Charles Bassey,SAS,SAS @ GSW,11/24/2023,L,7,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,1,0,0,0,6
Keldon Johnson,SAS,SAS @ GSW,11/24/2023,L,34,22,8,13,61.5,3,7,42.9,3,5,60,4,8,12,4,2,0,3,3,5,45.4
Zach Collins,SAS,SAS @ GSW,11/24/2023,L,31,6,2,12,16.7,0,7,0,2,2,100,3,5,8,6,0,0,3,3,-7,21.6
Gary Payton II,GSW,GSW vs. SAS,11/24/2023,W,19,4,2,3,66.7,0,1,0,0,0,-,0,3,3,0,1,1,2,4,0,11.6
Kevon Looney,GSW,GSW vs. SAS,11/24/2023,W,24,6,2,3,66.7,0,0,-,2,3,66.7,1,7,8,4,2,0,2,3,-3,25.6
Andrew Wiggins,GSW,GSW vs. SAS,11/24/2023,W,25,10,4,10,40,2,4,50,0,0,-,0,4,4,0,0,0,3,3,-1,11.8
Jaden Ivey,DET,DET @ IND,11/24/2023,L,32,25,9,16,56.3,1,6,16.7,6,9,66.7,2,0,2,3,1,1,3,3,-15,34.9
Andrew Nembhard,IND,IND vs. DET,11/24/2023,W,20,13,6,13,46.2,1,3,33.3,0,1,0,3,0,3,4,1,0,2,1,25,23.6
Ben Sheppard,IND,IND vs. DET,11/24/2023,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0
Bennedict Mathurin,IND,IND vs. DET,11/24/2023,W,31,15,6,12,50,1,2,50,2,2,100,1,1,2,0,1,0,1,4,27,19.4
Bruce Brown,IND,IND vs. DET,11/24/2023,W,37,10,3,10,30,0,3,0,4,5,80,0,4,4,5,3,0,0,3,26,31.3
Myles Turner,IND,IND vs. DET,11/24/2023,W,27,23,8,14,57.1,1,3,33.3,6,6,100,5,5,10,2,1,5,2,5,23,54
Obi Toppin,IND,IND vs. DET,11/24/2023,W,24,15,6,8,75,3,5,60,0,0,-,1,2,3,2,0,0,0,1,5,21.6
Tyrese Haliburton,IND,IND vs. DET,11/24/2023,W,32,26,9,23,39.1,5,13,38.5,3,3,100,0,2,2,10,0,0,1,0,9,42.4
Isaiah Livers,DET,DET @ IND,11/24/2023,L,26,8,3,5,60,2,4,50,0,0,-,0,2,2,0,0,0,0,2,-15,10.4
Cade Cunningham,DET,DET @ IND,11/24/2023,L,38,31,10,26,38.5,2,4,50,9,9,100,0,3,3,5,0,0,4,0,-12,38.1
Jalen Duren,DET,DET @ IND,11/24/2023,L,29,13,5,10,50,0,1,0,3,4,75,4,9,13,4,1,1,2,5,-11,38.6
Ausar Thompson,DET,DET @ IND,11/24/2023,L,30,8,4,5,80,0,0,-,0,0,-,1,5,6,3,0,2,1,2,6,24.7
Isaiah Stewart,DET,DET @ IND,11/24/2023,L,27,10,4,8,50,0,0,-,2,2,100,3,3,6,1,2,1,0,1,-11,27.7
Alec Burks,DET,DET @ IND,11/24/2023,L,14,6,2,6,33.3,2,3,66.7,0,0,-,0,2,2,1,1,1,2,1,-8,13.9
Killian Hayes,DET,DET @ IND,11/24/2023,L,17,6,3,6,50,0,0,-,0,0,-,0,1,1,3,0,0,0,0,-25,11.7
Isaiah Jackson,IND,IND vs. DET,11/24/2023,W,19,8,3,8,37.5,0,1,0,2,2,100,4,2,6,1,0,3,1,4,5,24.7
Jalen Smith,IND,IND vs. DET,11/24/2023,W,21,8,2,3,66.7,2,2,100,2,2,100,1,5,6,0,1,0,1,1,0,17.2
Buddy Hield,IND,IND vs. DET,11/24/2023,W,28,18,6,11,54.5,3,6,50,3,3,100,0,4,4,0,0,0,0,2,-7,22.8
Stanley Umude,DET,DET @ IND,11/24/2023,L,8,0,0,1,0,0,0,-,0,0,-,1,1,2,0,1,2,1,3,-14,10.4
Marvin Bagley III,DET,DET @ IND,11/24/2023,L,14,6,3,6,50,0,0,-,0,0,-,3,3,6,2,0,3,1,1,-8,24.2
Marcus Sasser,DET,DET @ IND,11/24/2023,L,5,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0
Jabari Smith Jr.,HOU,HOU vs. DEN,11/24/2023,W,38,16,6,9,66.7,2,3,66.7,2,2,100,3,12,15,1,1,1,2,2,16,39.5
Reggie Jackson,DEN,DEN @ HOU,11/24/2023,L,25,2,1,7,14.3,0,2,0,0,0,-,2,2,4,3,0,1,6,0,-26,8.3
Alperen Sengun,HOU,HOU vs. DEN,11/24/2023,W,43,21,8,19,42.1,0,4,0,5,6,83.3,1,14,15,8,2,1,5,4,12,55
Dillon Brooks,HOU,HOU vs. DEN,11/24/2023,W,30,8,2,8,25,2,3,66.7,2,2,100,1,0,1,2,0,0,2,4,8,10.2
Christian Braun,DEN,DEN @ HOU,11/24/2023,L,26,7,3,9,33.3,0,0,-,1,1,100,0,3,3,0,0,0,0,1,-2,10.6
Dario Saric,GSW,GSW vs. SAS,11/24/2023,W,26,20,7,11,63.6,4,7,57.1,2,2,100,2,5,7,4,2,0,3,3,13,37.4
Cedi Osman,SAS,SAS @ GSW,11/24/2023,L,18,11,5,11,45.5,1,6,16.7,0,0,-,1,0,1,0,0,0,1,3,-3,11.2
Johnny Davis,WAS,WAS @ MIL,11/24/2023,L,12,6,2,4,50,0,0,-,2,2,100,3,2,5,0,0,0,1,1,-5,11
MarJon Beauchamp,MIL,MIL vs. WAS,11/24/2023,W,13,3,0,4,0,0,2,0,3,4,75,0,3,3,2,0,0,0,2,8,9.6
Deni Avdija,WAS,WAS @ MIL,11/24/2023,L,28,2,1,6,16.7,0,0,-,0,0,-,2,3,5,5,0,0,0,3,-2,15.5
AJ Green,MIL,MIL vs. WAS,11/24/2023,W,4,3,1,4,25,1,4,25,0,0,-,0,0,0,0,0,0,0,0,-2,3
Danilo Gallinari,WAS,WAS @ MIL,11/24/2023,L,18,7,2,5,40,1,2,50,2,2,100,0,4,4,1,0,0,0,2,1,13.3
Cameron Payne,MIL,MIL vs. WAS,11/24/2023,W,17,4,2,4,50,0,2,0,0,0,-,0,3,3,3,0,0,0,3,-4,12.1
Bobby Portis,MIL,MIL vs. WAS,11/24/2023,W,25,2,1,5,20,0,1,0,0,0,-,2,4,6,1,0,1,0,3,3,13.7
Andre Jackson Jr.,MIL,MIL vs. WAS,11/24/2023,W,9,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,4,0,2.7
Malik Beasley,MIL,MIL vs. WAS,11/24/2023,W,27,9,4,8,50,1,4,25,0,0,-,4,7,11,1,0,1,2,3,4,24.7
Pat Connaughton,MIL,MIL vs. WAS,11/24/2023,W,27,2,1,5,20,0,3,0,0,2,0,0,4,4,1,1,0,1,1,2,10.3
Giannis Antetokounmpo,MIL,MIL vs. WAS,11/24/2023,W,37,31,11,19,57.9,0,0,-,9,12,75,3,6,9,3,3,1,3,2,-10,55.3
Corey Kispert,WAS,WAS @ MIL,11/24/2023,L,33,20,7,12,58.3,6,10,60,0,0,-,0,5,5,1,0,0,3,3,-2,24.5
Tyus Jones,WAS,WAS @ MIL,11/24/2023,L,31,22,9,14,64.3,1,4,25,3,3,100,0,7,7,7,1,0,0,0,3,43.9
Daniel Gafford,WAS,WAS @ MIL,11/24/2023,L,29,8,3,6,50,0,0,-,2,3,66.7,5,4,9,4,1,2,1,5,-6,32.8
Jordan Poole,WAS,WAS @ MIL,11/24/2023,L,34,26,9,20,45,1,6,16.7,7,9,77.8,1,4,5,7,0,0,2,5,-3,40.5
Landry Shamet,WAS,WAS @ MIL,11/24/2023,L,24,15,6,11,54.5,3,7,42.9,0,1,0,0,2,2,0,1,0,0,2,0,20.4
Kyle Kuzma,WAS,WAS @ MIL,11/24/2023,L,31,22,9,22,40.9,3,8,37.5,1,1,100,1,3,4,4,0,2,1,3,-1,37.8
Damian Lillard,MIL,MIL vs. WAS,11/24/2023,W,37,31,11,18,61.1,2,5,40,7,8,87.5,1,5,6,10,0,0,1,1,1,52.2
Brook Lopez,MIL,MIL vs. WAS,11/24/2023,W,32,39,14,17,82.4,4,7,57.1,7,7,100,0,6,6,1,2,3,1,2,8,61.7
Peyton Watson,DEN,DEN @ HOU,11/24/2023,L,6,0,0,3,0,0,1,0,0,0,-,1,0,1,0,0,1,0,1,-18,4.2
Julian Strawther,DEN,DEN @ HOU,11/24/2023,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-15,0
Jeff Green,HOU,HOU vs. DEN,11/24/2023,W,8,0,0,2,0,0,2,0,0,0,-,0,0,0,0,0,3,0,0,12,9
Collin Gillespie,DEN,DEN @ HOU,11/24/2023,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-7,-1
Aaron Holiday,HOU,HOU vs. DEN,11/24/2023,W,15,7,3,4,75,1,1,100,0,0,-,0,0,0,0,1,1,0,2,2,13
Jae'Sean Tate,HOU,HOU vs. DEN,11/24/2023,W,16,4,2,4,50,0,1,0,0,0,-,0,3,3,0,0,1,1,4,6,9.6
Zeke Nnaji,DEN,DEN @ HOU,11/24/2023,L,4,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,1,0,0,-1
Tari Eason,HOU,HOU vs. DEN,11/24/2023,W,16,7,3,6,50,1,2,50,0,0,-,1,3,4,1,1,0,0,2,9,16.3
Aaron Gordon,DEN,DEN @ HOU,11/24/2023,L,39,2,0,12,0,0,4,0,2,4,50,3,4,7,2,0,0,1,1,-9,12.4
Justin Holiday,DEN,DEN @ HOU,11/24/2023,L,13,3,1,2,50,1,2,50,0,0,-,0,0,0,0,1,0,0,2,9,6
Kentavious Caldwell-Pope,DEN,DEN @ HOU,11/24/2023,L,39,20,7,15,46.7,1,5,20,5,5,100,3,2,5,3,3,0,2,4,-7,37.5
Michael Porter Jr.,DEN,DEN @ HOU,11/24/2023,L,37,14,6,14,42.9,2,8,25,0,0,-,1,6,7,1,1,2,1,1,-8,31.9
Fred VanVleet,HOU,HOU vs. DEN,11/24/2023,W,39,17,6,12,50,3,5,60,2,2,100,0,6,6,11,1,2,1,3,30,48.7
Nikola Jokic,DEN,DEN @ HOU,11/24/2023,L,42,38,14,31,45.2,3,8,37.5,7,11,63.6,6,13,19,8,3,0,3,3,-12,78.8
Stephen Curry,GSW,GSW vs. SAS,11/24/2023,W,35,35,11,20,55,7,14,50,6,6,100,0,3,3,6,1,0,6,2,4,44.6
Victor Wembanyama,SAS,SAS @ GSW,11/24/2023,L,35,22,8,18,44.4,1,6,16.7,5,5,100,2,7,9,4,1,2,6,2,2,41.8
Brandin Podziemski,GSW,GSW vs. SAS,11/24/2023,W,12,0,0,5,0,0,2,0,0,0,-,1,2,3,2,0,0,1,0,0,5.6
Jonathan Kuminga,GSW,GSW vs. SAS,11/24/2023,W,20,12,5,7,71.4,1,2,50,1,2,50,0,1,1,2,0,0,1,0,-1,15.2
Tre Jones,SAS,SAS @ GSW,11/24/2023,L,17,7,3,5,60,1,1,100,0,0,-,0,5,5,2,2,0,1,1,-10,21
Devin Vassell,SAS,SAS @ GSW,11/24/2023,L,27,24,10,19,52.6,4,10,40,0,0,-,1,3,4,1,1,0,2,2,-9,31.3
Chris Duarte,SAC,SAC @ MIN,11/24/2023,W,22,0,0,3,0,0,2,0,0,0,-,2,3,5,0,1,0,2,3,2,7
Jacob Gilyard,MEM,MEM vs. PHX,11/24/2023,L,24,6,2,5,40,1,4,25,1,1,100,0,0,0,5,0,0,2,2,-2,11.5
Jalen Green,HOU,HOU vs. DEN,11/24/2023,W,36,25,10,18,55.6,3,8,37.5,2,3,66.7,0,5,5,2,3,0,3,0,0,40
Klay Thompson,GSW,GSW vs. SAS,11/24/2023,W,29,15,3,11,27.3,3,8,37.5,6,7,85.7,1,2,3,6,1,0,2,3,7,28.6
Keita Bates-Diop,PHX,PHX @ MEM,11/24/2023,W,24,6,2,5,40,0,1,0,2,2,100,1,3,4,1,1,2,0,0,8,21.3
John Konchar,MEM,MEM vs. PHX,11/24/2023,L,18,1,0,2,0,0,1,0,1,2,50,0,3,3,1,0,0,0,1,-3,6.1
Chimezie Metu,PHX,PHX @ MEM,11/24/2023,W,15,3,1,3,33.3,0,1,0,1,2,50,0,2,2,1,0,0,0,2,7,6.9
Nassir Little,PHX,PHX @ MEM,11/24/2023,W,16,2,0,1,0,0,1,0,2,2,100,0,4,4,0,1,0,1,2,1,8.8
Vince Williams Jr.,MEM,MEM vs. PHX,11/24/2023,L,14,3,1,2,50,1,2,50,0,0,-,0,5,5,1,0,0,0,4,-6,10.5
Bismack Biyombo,MEM,MEM vs. PHX,11/24/2023,L,29,6,3,5,60,0,0,-,0,0,-,1,3,4,1,0,1,1,3,-9,14.3
Jordan Goodwin,PHX,PHX @ MEM,11/24/2023,W,20,14,6,8,75,1,3,33.3,1,1,100,2,3,5,2,1,0,1,0,19,25
Derrick Rose,MEM,MEM vs. PHX,11/24/2023,L,22,17,8,9,88.9,1,1,100,0,0,-,0,2,2,1,1,0,1,0,-10,22.9
Jaren Jackson Jr.,MEM,MEM vs. PHX,11/24/2023,L,29,13,5,13,38.5,1,4,25,2,4,50,4,3,7,2,1,0,3,5,-12,24.4
Larry Nance Jr.,NOP,NOP @ LAC,11/24/2023,W,20,4,2,4,50,0,1,0,0,0,-,1,2,3,0,0,3,1,1,-5,15.6
Kawhi Leonard,LAC,LAC vs. NOP,11/24/2023,L,34,20,8,17,47.1,1,7,14.3,3,4,75,1,7,8,3,1,1,1,0,-15,39.1
Naji Marshall,NOP,NOP @ LAC,11/24/2023,W,27,5,0,7,0,0,3,0,5,6,83.3,2,6,8,1,0,0,0,1,-3,16.1
Herbert Jones,NOP,NOP @ LAC,11/24/2023,W,24,14,5,7,71.4,3,4,75,1,2,50,2,2,4,4,1,1,3,5,22,27.8
Dyson Daniels,NOP,NOP @ LAC,11/24/2023,W,36,7,3,7,42.9,1,2,50,0,0,-,2,6,8,5,1,1,1,2,18,29.1
Ivica Zubac,LAC,LAC vs. NOP,11/24/2023,L,22,11,5,6,83.3,0,0,-,1,1,100,3,2,5,0,0,1,4,4,-18,16
Brandon Ingram,NOP,NOP @ LAC,11/24/2023,W,35,30,12,21,57.1,2,5,40,4,6,66.7,0,4,4,5,0,0,3,3,13,39.3
Norman Powell,LAC,LAC vs. NOP,11/24/2023,L,28,20,8,14,57.1,3,5,60,1,1,100,0,1,1,0,3,0,0,1,-2,30.2
Paul George,LAC,LAC vs. NOP,11/24/2023,L,39,34,14,30,46.7,4,12,33.3,2,3,66.7,1,7,8,2,0,0,2,3,-9,44.6
James Harden,LAC,LAC vs. NOP,11/24/2023,L,37,8,2,8,25,1,6,16.7,3,6,50,0,5,5,10,4,1,3,3,-6,41
Zion Williamson,NOP,NOP @ LAC,11/24/2023,W,34,32,13,25,52,0,1,0,6,9,66.7,2,4,6,5,2,0,5,2,-1,47.7
David Roddy,MEM,MEM vs. PHX,11/24/2023,L,27,14,5,9,55.6,2,4,50,2,3,66.7,0,4,4,0,2,1,2,0,-15,25.8
Santi Aldama,MEM,MEM vs. PHX,11/24/2023,L,36,21,9,20,45,3,10,30,0,0,-,1,4,5,0,0,0,0,2,-18,27
Shaquille Harrison,MEM,MEM vs. PHX,11/24/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,0
Jaylen Nowell,MEM,MEM vs. PHX,11/24/2023,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,0
GG Jackson,MEM,MEM vs. PHX,11/24/2023,L,2,0,0,1,0,0,1,0,0,0,-,0,0,0,0,1,0,1,0,-4,2
Kenneth Lofton Jr.,MEM,MEM vs. PHX,11/24/2023,L,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-4,2
Eric Gordon,PHX,PHX @ MEM,11/24/2023,W,34,20,6,15,40,4,11,36.4,4,4,100,0,1,1,2,0,0,2,0,5,22.2
Grayson Allen,PHX,PHX @ MEM,11/24/2023,W,37,14,5,9,55.6,2,4,50,2,3,66.7,0,2,2,3,0,1,1,2,1,22.9
Josh Okogie,PHX,PHX @ MEM,11/24/2023,W,28,5,2,9,22.2,1,4,25,0,1,0,1,6,7,3,1,0,0,1,22,20.9
Devin Booker,PHX,PHX @ MEM,11/24/2023,W,33,40,15,21,71.4,3,4,75,7,9,77.8,1,4,5,4,4,1,5,3,28,62
