PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Sam Hauser,BOS,BOS vs. MIA,10/27/2023,W,10,3,1,2,50,1,2,50,0,0,-,0,1,1,0,0,0,0,1,6,4.2
Payton Pritchard,BOS,BOS vs. MIA,10/27/2023,W,13,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,2,8,4.5
Jayson Tatum,BOS,BOS vs. MIA,10/27/2023,W,41,22,9,22,40.9,3,10,30,1,3,33.3,0,8,8,5,1,0,2,4,13,40.1
Al Horford,BOS,BOS vs. MIA,10/27/2023,W,25,0,0,6,0,0,2,0,0,0,-,3,7,10,2,0,1,3,1,7,15
Oshae Brissett,BOS,BOS vs. MIA,10/27/2023,W,14,2,1,2,50,0,0,-,0,0,-,3,2,5,0,0,0,2,1,7,6
Jaylen Brown,BOS,BOS vs. MIA,10/27/2023,W,34,27,11,22,50,3,7,42.9,2,4,50,2,4,6,1,2,0,4,1,3,37.7
Kristaps Porzingis,BOS,BOS vs. MIA,10/27/2023,W,30,17,6,12,50,2,6,33.3,3,4,75,3,6,9,1,3,1,1,6,-12,40.3
Jrue Holiday,BOS,BOS vs. MIA,10/27/2023,W,36,17,7,13,53.8,1,4,25,2,2,100,2,8,10,7,0,1,1,2,4,41.5
LaMelo Ball,CHA,CHA vs. DET,10/27/2023,L,33,20,4,17,23.5,2,7,28.6,10,12,83.3,3,6,9,9,2,1,4,1,-7,49.3
Theo Maledon,CHA,CHA vs. DET,10/27/2023,L,14,6,1,2,50,0,0,-,4,5,80,0,2,2,0,2,0,1,0,-2,13.4
JT Thor,CHA,CHA vs. DET,10/27/2023,L,25,2,1,3,33.3,0,1,0,0,0,-,1,3,4,0,1,1,0,1,0,12.8
Mark Williams,CHA,CHA vs. DET,10/27/2023,L,21,2,1,4,25,0,0,-,0,0,-,2,1,3,1,0,1,1,5,-17,9.1
Gordon Hayward,CHA,CHA vs. DET,10/27/2023,L,34,19,6,15,40,2,4,50,5,6,83.3,1,8,9,4,3,0,3,2,-10,41.8
Brandon Miller,CHA,CHA vs. DET,10/27/2023,L,33,17,6,13,46.2,2,4,50,3,4,75,2,4,6,2,1,1,3,4,-2,30.2
Nick Richards,CHA,CHA vs. DET,10/27/2023,L,16,0,0,1,0,0,0,-,0,2,0,1,1,2,0,1,2,2,4,1,9.4
P.J. Washington,CHA,CHA vs. DET,10/27/2023,L,29,13,6,13,46.2,1,5,20,0,1,0,0,3,3,3,2,1,2,6,-12,28.1
Terry Rozier,CHA,CHA vs. DET,10/27/2023,L,35,20,8,20,40,0,7,0,4,4,100,1,2,3,1,1,0,2,0,-11,26.1
Zach LaVine,CHI,CHI vs. TOR,10/27/2023,W,38,8,3,14,21.4,0,6,0,2,2,100,0,5,5,1,0,1,3,3,-23,15.5
Coby White,CHI,CHI vs. TOR,10/27/2023,W,40,17,5,15,33.3,2,9,22.2,5,5,100,0,6,6,8,1,0,3,2,-1,36.2
Alex Caruso,CHI,CHI vs. TOR,10/27/2023,W,32,13,5,9,55.6,2,5,40,1,2,50,6,7,13,2,2,1,0,5,29,40.6
